operand_a,operand_b,operation,expected_result
0x0000000000000000,0xffffffffffffffff,7,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,8,0x0000000000000000
0x0000000000000000,0xffffffffffffffff,9,0x0000000000000001
0x0000000000000000,0x5555555555555555,0,0x5555555555555555
0x0000000000000000,0x5555555555555555,1,0xaaaaaaaaaaaaaaab
0x0000000000000000,0x5555555555555555,2,0x0000000000000000
0x0000000000000000,0x5555555555555555,3,0x5555555555555555
0x0000000000000000,0x5555555555555555,4,0x5555555555555555
0x0000000000000000,0x5555555555555555,5,0x0000000000000000
0x0000000000000000,0x5555555555555555,6,0x0000000000000000
0x0000000000000000,0x5555555555555555,7,0x0000000000000000
0x0000000000000000,0x5555555555555555,8,0x0000000000000001
0x0000000000000000,0x5555555555555555,9,0x0000000000000001
0x0000000000000000,0xaaaaaaaaaaaaaaaa,0,0xaaaaaaaaaaaaaaaa
0x0000000000000000,0xaaaaaaaaaaaaaaaa,1,0x5555555555555556
0x0000000000000000,0xaaaaaaaaaaaaaaaa,2,0x0000000000000000
0x0000000000000000,0xaaaaaaaaaaaaaaaa,3,0xaaaaaaaaaaaaaaaa
0x0000000000000000,0xaaaaaaaaaaaaaaaa,4,0xaaaaaaaaaaaaaaaa
0x0000000000000000,0xaaaaaaaaaaaaaaaa,5,0x0000000000000000
0x0000000000000000,0xaaaaaaaaaaaaaaaa,6,0x0000000000000000
0x0000000000000000,0xaaaaaaaaaaaaaaaa,7,0x0000000000000000
0x0000000000000000,0xaaaaaaaaaaaaaaaa,8,0x0000000000000000
0x0000000000000000,0xaaaaaaaaaaaaaaaa,9,0x0000000000000001
0x0000000000000001,0x0000000000000000,0,0x0000000000000001
0x0000000000000001,0x0000000000000000,1,0x0000000000000001
0x0000000000000001,0x0000000000000000,2,0x0000000000000000
0x0000000000000001,0x0000000000000000,3,0x0000000000000001
0x0000000000000001,0x0000000000000000,4,0x0000000000000001
0x0000000000000001,0x0000000000000000,5,0x0000000000000001
0x0000000000000001,0x0000000000000000,6,0x0000000000000001
0x0000000000000001,0x0000000000000000,7,0x0000000000000001
0x0000000000000001,0x0000000000000000,8,0x0000000000000000
0x0000000000000001,0x0000000000000000,9,0x0000000000000000
0x0000000000000001,0x0000000000000001,0,0x0000000000000002
0x0000000000000001,0x0000000000000001,1,0x0000000000000000
0x0000000000000001,0x0000000000000001,2,0x0000000000000001
0x0000000000000001,0x0000000000000001,3,0x0000000000000001
0x0000000000000001,0x0000000000000001,4,0x0000000000000000
0x0000000000000001,0x0000000000000001,5,0x0000000000000002
0x0000000000000001,0x0000000000000001,6,0x0000000000000000
0x0000000000000001,0x0000000000000001,7,0x0000000000000000
0x0000000000000001,0x0000000000000001,8,0x0000000000000000
0x0000000000000001,0x0000000000000001,9,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,0,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,1,0x0000000000000002
0x0000000000000001,0xffffffffffffffff,2,0x0000000000000001
0x0000000000000001,0xffffffffffffffff,3,0xffffffffffffffff
0x0000000000000001,0xffffffffffffffff,4,0xfffffffffffffffe
0x0000000000000001,0xffffffffffffffff,5,0x8000000000000000
0x0000000000000001,0xffffffffffffffff,6,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,7,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,8,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,9,0x0000000000000001
0x0000000000000001,0x7fffffffffffffff,0,0x8000000000000000
0x0000000000000001,0x7fffffffffffffff,1,0x8000000000000002
0x0000000000000001,0x7fffffffffffffff,2,0x0000000000000001
0x0000000000000001,0x7fffffffffffffff,3,0x7fffffffffffffff
0x0000000000000001,0x7fffffffffffffff,4,0x7ffffffffffffffe
0x0000000000000001,0x7fffffffffffffff,5,0x8000000000000000
0x0000000000000001,0x7fffffffffffffff,6,0x0000000000000000
0x0000000000000001,0x7fffffffffffffff,7,0x0000000000000000
0x0000000000000001,0x7fffffffffffffff,8,0x0000000000000001
0x0000000000000001,0x7fffffffffffffff,9,0x0000000000000001
0x0000000000000001,0x8000000000000000,0,0x8000000000000001
0x0000000000000001,0x8000000000000000,1,0x8000000000000001
0x0000000000000001,0x8000000000000000,2,0x0000000000000000
0x0000000000000001,0x8000000000000000,3,0x8000000000000001
0x0000000000000001,0x8000000000000000,4,0x8000000000000001
0x0000000000000001,0x8000000000000000,5,0x0000000000000001
0x0000000000000001,0x8000000000000000,6,0x0000000000000001
0x0000000000000001,0x8000000000000000,7,0x0000000000000001
0x0000000000000001,0x8000000000000000,8,0x0000000000000000
0x0000000000000001,0x8000000000000000,9,0x0000000000000001
0x0000000000000001,0x7fffffffffffffff,0,0x8000000000000000
0x0000000000000001,0x7fffffffffffffff,1,0x8000000000000002
0x0000000000000001,0x7fffffffffffffff,2,0x0000000000000001
0x0000000000000001,0x7fffffffffffffff,3,0x7fffffffffffffff
0x0000000000000001,0x7fffffffffffffff,4,0x7ffffffffffffffe
0x0000000000000001,0x7fffffffffffffff,5,0x8000000000000000
0x0000000000000001,0x7fffffffffffffff,6,0x0000000000000000
0x0000000000000001,0x7fffffffffffffff,7,0x0000000000000000
0x0000000000000001,0x7fffffffffffffff,8,0x0000000000000001
0x0000000000000001,0x7fffffffffffffff,9,0x0000000000000001
0x0000000000000001,0x8000000000000000,0,0x8000000000000001
0x0000000000000001,0x8000000000000000,1,0x8000000000000001
0x0000000000000001,0x8000000000000000,2,0x0000000000000000
0x0000000000000001,0x8000000000000000,3,0x8000000000000001
0x0000000000000001,0x8000000000000000,4,0x8000000000000001
0x0000000000000001,0x8000000000000000,5,0x0000000000000001
0x0000000000000001,0x8000000000000000,6,0x0000000000000001
0x0000000000000001,0x8000000000000000,7,0x0000000000000001
0x0000000000000001,0x8000000000000000,8,0x0000000000000000
0x0000000000000001,0x8000000000000000,9,0x0000000000000001
0x0000000000000001,0xffffffffffffffff,0,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,1,0x0000000000000002
0x0000000000000001,0xffffffffffffffff,2,0x0000000000000001
0x0000000000000001,0xffffffffffffffff,3,0xffffffffffffffff
0x0000000000000001,0xffffffffffffffff,4,0xfffffffffffffffe
0x0000000000000001,0xffffffffffffffff,5,0x8000000000000000
0x0000000000000001,0xffffffffffffffff,6,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,7,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,8,0x0000000000000000
0x0000000000000001,0xffffffffffffffff,9,0x0000000000000001
0x0000000000000001,0x5555555555555555,0,0x5555555555555556
0x0000000000000001,0x5555555555555555,1,0xaaaaaaaaaaaaaaac
0x0000000000000001,0x5555555555555555,2,0x0000000000000001
0x0000000000000001,0x5555555555555555,3,0x5555555555555555
0x0000000000000001,0x5555555555555555,4,0x5555555555555554
0x0000000000000001,0x5555555555555555,5,0x0000000000200000
0x0000000000000001,0x5555555555555555,6,0x0000000000000000
0x0000000000000001,0x5555555555555555,7,0x0000000000000000
0x0000000000000001,0x5555555555555555,8,0x0000000000000001
0x0000000000000001,0x5555555555555555,9,0x0000000000000001
0x0000000000000001,0xaaaaaaaaaaaaaaaa,0,0xaaaaaaaaaaaaaaab
0x0000000000000001,0xaaaaaaaaaaaaaaaa,1,0x5555555555555557
0x0000000000000001,0xaaaaaaaaaaaaaaaa,2,0x0000000000000000
0x0000000000000001,0xaaaaaaaaaaaaaaaa,3,0xaaaaaaaaaaaaaaab
0x0000000000000001,0xaaaaaaaaaaaaaaaa,4,0xaaaaaaaaaaaaaaab
0x0000000000000001,0xaaaaaaaaaaaaaaaa,5,0x0000040000000000
0x0000000000000001,0xaaaaaaaaaaaaaaaa,6,0x0000000000000000
0x0000000000000001,0xaaaaaaaaaaaaaaaa,7,0x0000000000000000
0x0000000000000001,0xaaaaaaaaaaaaaaaa,8,0x0000000000000000
0x0000000000000001,0xaaaaaaaaaaaaaaaa,9,0x0000000000000001
0xffffffffffffffff,0x0000000000000000,0,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,1,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,2,0x0000000000000000
0xffffffffffffffff,0x0000000000000000,3,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,4,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,5,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,6,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,7,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000000,8,0x0000000000000001
0xffffffffffffffff,0x0000000000000000,9,0x0000000000000000
0xffffffffffffffff,0x0000000000000001,0,0x0000000000000000
0xffffffffffffffff,0x0000000000000001,1,0xfffffffffffffffe
0xffffffffffffffff,0x0000000000000001,2,0x0000000000000001
0xffffffffffffffff,0x0000000000000001,3,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000001,4,0xfffffffffffffffe
0xffffffffffffffff,0x0000000000000001,5,0xfffffffffffffffe
0xffffffffffffffff,0x0000000000000001,6,0x7fffffffffffffff
0xffffffffffffffff,0x0000000000000001,7,0xffffffffffffffff
0xffffffffffffffff,0x0000000000000001,8,0x0000000000000001
0xffffffffffffffff,0x0000000000000001,9,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,0,0xfffffffffffffffe
0xffffffffffffffff,0xffffffffffffffff,1,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,2,0xffffffffffffffff
0xffffffffffffffff,0xffffffffffffffff,3,0xffffffffffffffff
0xffffffffffffffff,0xffffffffffffffff,4,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,5,0x8000000000000000
0xffffffffffffffff,0xffffffffffffffff,6,0x0000000000000001
0xffffffffffffffff,0xffffffffffffffff,7,0xffffffffffffffff
0xffffffffffffffff,0xffffffffffffffff,8,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,9,0x0000000000000000
0xffffffffffffffff,0x7fffffffffffffff,0,0x7ffffffffffffffe
0xffffffffffffffff,0x7fffffffffffffff,1,0x8000000000000000
0xffffffffffffffff,0x7fffffffffffffff,2,0x7fffffffffffffff
0xffffffffffffffff,0x7fffffffffffffff,3,0xffffffffffffffff
0xffffffffffffffff,0x7fffffffffffffff,4,0x8000000000000000
0xffffffffffffffff,0x7fffffffffffffff,5,0x8000000000000000
0xffffffffffffffff,0x7fffffffffffffff,6,0x0000000000000001
0xffffffffffffffff,0x7fffffffffffffff,7,0xffffffffffffffff
0xffffffffffffffff,0x7fffffffffffffff,8,0x0000000000000001
0xffffffffffffffff,0x7fffffffffffffff,9,0x0000000000000000
0xffffffffffffffff,0x8000000000000000,0,0x7fffffffffffffff
0xffffffffffffffff,0x8000000000000000,1,0x7fffffffffffffff
0xffffffffffffffff,0x8000000000000000,2,0x8000000000000000
0xffffffffffffffff,0x8000000000000000,3,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,4,0x7fffffffffffffff
0xffffffffffffffff,0x8000000000000000,5,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,6,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,7,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,8,0x0000000000000000
0xffffffffffffffff,0x8000000000000000,9,0x0000000000000000
0xffffffffffffffff,0x7fffffffffffffff,0,0x7ffffffffffffffe
0xffffffffffffffff,0x7fffffffffffffff,1,0x8000000000000000
0xffffffffffffffff,0x7fffffffffffffff,2,0x7fffffffffffffff
0xffffffffffffffff,0x7fffffffffffffff,3,0xffffffffffffffff
0xffffffffffffffff,0x7fffffffffffffff,4,0x8000000000000000
0xffffffffffffffff,0x7fffffffffffffff,5,0x8000000000000000
0xffffffffffffffff,0x7fffffffffffffff,6,0x0000000000000001
0xffffffffffffffff,0x7fffffffffffffff,7,0xffffffffffffffff
0xffffffffffffffff,0x7fffffffffffffff,8,0x0000000000000001
0xffffffffffffffff,0x7fffffffffffffff,9,0x0000000000000000
0xffffffffffffffff,0x8000000000000000,0,0x7fffffffffffffff
0xffffffffffffffff,0x8000000000000000,1,0x7fffffffffffffff
0xffffffffffffffff,0x8000000000000000,2,0x8000000000000000
0xffffffffffffffff,0x8000000000000000,3,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,4,0x7fffffffffffffff
0xffffffffffffffff,0x8000000000000000,5,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,6,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,7,0xffffffffffffffff
0xffffffffffffffff,0x8000000000000000,8,0x0000000000000000
0xffffffffffffffff,0x8000000000000000,9,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,0,0xfffffffffffffffe
0xffffffffffffffff,0xffffffffffffffff,1,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,2,0xffffffffffffffff
0xffffffffffffffff,0xffffffffffffffff,3,0xffffffffffffffff
0xffffffffffffffff,0xffffffffffffffff,4,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,5,0x8000000000000000
0xffffffffffffffff,0xffffffffffffffff,6,0x0000000000000001
0xffffffffffffffff,0xffffffffffffffff,7,0xffffffffffffffff
0xffffffffffffffff,0xffffffffffffffff,8,0x0000000000000000
0xffffffffffffffff,0xffffffffffffffff,9,0x0000000000000000
0xffffffffffffffff,0x5555555555555555,0,0x5555555555555554
0xffffffffffffffff,0x5555555555555555,1,0xaaaaaaaaaaaaaaaa
0xffffffffffffffff,0x5555555555555555,2,0x5555555555555555
0xffffffffffffffff,0x5555555555555555,3,0xffffffffffffffff
0xffffffffffffffff,0x5555555555555555,4,0xaaaaaaaaaaaaaaaa
0xffffffffffffffff,0x5555555555555555,5,0xffffffffffe00000
0xffffffffffffffff,0x5555555555555555,6,0x000007ffffffffff
0xffffffffffffffff,0x5555555555555555,7,0xffffffffffffffff
0xffffffffffffffff,0x5555555555555555,8,0x0000000000000001
0xffffffffffffffff,0x5555555555555555,9,0x0000000000000000
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,0,0xaaaaaaaaaaaaaaa9
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,1,0x5555555555555555
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,2,0xaaaaaaaaaaaaaaaa
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,3,0xffffffffffffffff
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,4,0x5555555555555555
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,5,0xfffffc0000000000
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,6,0x00000000003fffff
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,7,0xffffffffffffffff
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,8,0x0000000000000000
0xffffffffffffffff,0xaaaaaaaaaaaaaaaa,9,0x0000000000000000
0x7fffffffffffffff,0x0000000000000000,0,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,1,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,2,0x0000000000000000
0x7fffffffffffffff,0x0000000000000000,3,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,4,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,5,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,6,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,7,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000000,8,0x0000000000000000
0x7fffffffffffffff,0x0000000000000000,9,0x0000000000000000
0x7fffffffffffffff,0x0000000000000001,0,0x8000000000000000
0x7fffffffffffffff,0x0000000000000001,1,0x7ffffffffffffffe
0x7fffffffffffffff,0x0000000000000001,2,0x0000000000000001
0x7fffffffffffffff,0x0000000000000001,3,0x7fffffffffffffff
0x7fffffffffffffff,0x0000000000000001,4,0x7ffffffffffffffe
0x7fffffffffffffff,0x0000000000000001,5,0xfffffffffffffffe
0x7fffffffffffffff,0x0000000000000001,6,0x3fffffffffffffff
0x7fffffffffffffff,0x0000000000000001,7,0x3fffffffffffffff
0x7fffffffffffffff,0x0000000000000001,8,0x0000000000000000
0x7fffffffffffffff,0x0000000000000001,9,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,0,0x7ffffffffffffffe
0x7fffffffffffffff,0xffffffffffffffff,1,0x8000000000000000
0x7fffffffffffffff,0xffffffffffffffff,2,0x7fffffffffffffff
0x7fffffffffffffff,0xffffffffffffffff,3,0xffffffffffffffff
0x7fffffffffffffff,0xffffffffffffffff,4,0x8000000000000000
0x7fffffffffffffff,0xffffffffffffffff,5,0x8000000000000000
0x7fffffffffffffff,0xffffffffffffffff,6,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,7,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,8,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,9,0x0000000000000001
0x7fffffffffffffff,0x7fffffffffffffff,0,0xfffffffffffffffe
0x7fffffffffffffff,0x7fffffffffffffff,1,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,2,0x7fffffffffffffff
0x7fffffffffffffff,0x7fffffffffffffff,3,0x7fffffffffffffff
0x7fffffffffffffff,0x7fffffffffffffff,4,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,5,0x8000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,6,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,7,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,8,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,9,0x0000000000000000
0x7fffffffffffffff,0x8000000000000000,0,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,1,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,2,0x0000000000000000
0x7fffffffffffffff,0x8000000000000000,3,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,4,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,5,0x7fffffffffffffff
0x7fffffffffffffff,0x8000000000000000,6,0x7fffffffffffffff
0x7fffffffffffffff,0x8000000000000000,7,0x7fffffffffffffff
0x7fffffffffffffff,0x8000000000000000,8,0x0000000000000000
0x7fffffffffffffff,0x8000000000000000,9,0x0000000000000001
0x7fffffffffffffff,0x7fffffffffffffff,0,0xfffffffffffffffe
0x7fffffffffffffff,0x7fffffffffffffff,1,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,2,0x7fffffffffffffff
0x7fffffffffffffff,0x7fffffffffffffff,3,0x7fffffffffffffff
0x7fffffffffffffff,0x7fffffffffffffff,4,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,5,0x8000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,6,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,7,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,8,0x0000000000000000
0x7fffffffffffffff,0x7fffffffffffffff,9,0x0000000000000000
0x7fffffffffffffff,0x8000000000000000,0,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,1,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,2,0x0000000000000000
0x7fffffffffffffff,0x8000000000000000,3,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,4,0xffffffffffffffff
0x7fffffffffffffff,0x8000000000000000,5,0x7fffffffffffffff
0x7fffffffffffffff,0x8000000000000000,6,0x7fffffffffffffff
0x7fffffffffffffff,0x8000000000000000,7,0x7fffffffffffffff
0x7fffffffffffffff,0x8000000000000000,8,0x0000000000000000
0x7fffffffffffffff,0x8000000000000000,9,0x0000000000000001
0x7fffffffffffffff,0xffffffffffffffff,0,0x7ffffffffffffffe
0x7fffffffffffffff,0xffffffffffffffff,1,0x8000000000000000
0x7fffffffffffffff,0xffffffffffffffff,2,0x7fffffffffffffff
0x7fffffffffffffff,0xffffffffffffffff,3,0xffffffffffffffff
0x7fffffffffffffff,0xffffffffffffffff,4,0x8000000000000000
0x7fffffffffffffff,0xffffffffffffffff,5,0x8000000000000000
0x7fffffffffffffff,0xffffffffffffffff,6,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,7,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,8,0x0000000000000000
0x7fffffffffffffff,0xffffffffffffffff,9,0x0000000000000001
0x7fffffffffffffff,0x5555555555555555,0,0xd555555555555554
0x7fffffffffffffff,0x5555555555555555,1,0x2aaaaaaaaaaaaaaa
0x7fffffffffffffff,0x5555555555555555,2,0x5555555555555555
0x7fffffffffffffff,0x5555555555555555,3,0x7fffffffffffffff
0x7fffffffffffffff,0x5555555555555555,4,0x2aaaaaaaaaaaaaaa
0x7fffffffffffffff,0x5555555555555555,5,0xffffffffffe00000
0x7fffffffffffffff,0x5555555555555555,6,0x000003ffffffffff
0x7fffffffffffffff,0x5555555555555555,7,0x000003ffffffffff
0x7fffffffffffffff,0x5555555555555555,8,0x0000000000000000
0x7fffffffffffffff,0x5555555555555555,9,0x0000000000000000
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,0,0x2aaaaaaaaaaaaaa9
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,1,0xd555555555555555
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,2,0x2aaaaaaaaaaaaaaa
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,3,0xffffffffffffffff
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,4,0xd555555555555555
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,5,0xfffffc0000000000
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,6,0x00000000001fffff
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,7,0x00000000001fffff
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,8,0x0000000000000000
0x7fffffffffffffff,0xaaaaaaaaaaaaaaaa,9,0x0000000000000001
0x8000000000000000,0x0000000000000000,0,0x8000000000000000
0x8000000000000000,0x0000000000000000,1,0x8000000000000000
0x8000000000000000,0x0000000000000000,2,0x0000000000000000
0x8000000000000000,0x0000000000000000,3,0x8000000000000000
0x8000000000000000,0x0000000000000000,4,0x8000000000000000
0x8000000000000000,0x0000000000000000,5,0x8000000000000000
0x8000000000000000,0x0000000000000000,6,0x8000000000000000
0x8000000000000000,0x0000000000000000,7,0x8000000000000000
0x8000000000000000,0x0000000000000000,8,0x0000000000000001
0x8000000000000000,0x0000000000000000,9,0x0000000000000000
0x8000000000000000,0x0000000000000001,0,0x8000000000000001
0x8000000000000000,0x0000000000000001,1,0x7fffffffffffffff
0x8000000000000000,0x0000000000000001,2,0x0000000000000000
0x8000000000000000,0x0000000000000001,3,0x8000000000000001
0x8000000000000000,0x0000000000000001,4,0x8000000000000001
0x8000000000000000,0x0000000000000001,5,0x0000000000000000
0x8000000000000000,0x0000000000000001,6,0x4000000000000000
0x8000000000000000,0x0000000000000001,7,0xc000000000000000
0x8000000000000000,0x0000000000000001,8,0x0000000000000001
0x8000000000000000,0x0000000000000001,9,0x0000000000000000
